department,total_earnings,_id
Boston Police Department,219134.29,352
Boston Police Department,171993.7,353
Boston Police Department,139035.87,354
Boston Police Department,212168.21,355
Boston Police Department,138852.2,356
Boston Police Department,134485.47,357
Boston Police Department,260357.21,358
Boston Police Department,115846.13,359
Boston Police Department,297348.93,360
Boston Police Department,160460.67,361
Boston Police Department,222454.61,362
Boston Police Department,201402.39,363
Boston Police Department,169797.36,364
Boston Police Department,110545.1,365
Boston Police Department,133072.19,366
Boston Police Department,244068.09,367
Boston Police Department,169477.5,368
Boston Police Department,220644.77,369
Boston Police Department,190075.15,370
Boston Police Department,266655.94,371
Boston Police Department,224598.85,372
Boston Police Department,187699.14,373
Boston Police Department,184818.79,374
Boston Police Department,190429.95,375
Boston Police Department,267165.98,376
Boston Police Department,269081.15,377
Boston Police Department,252125.84,378
Boston Police Department,251855.22,379
Boston Police Department,116951.66,380
Boston Police Department,206342.85,381
Boston Police Department,237854.49,382
Boston Police Department,216133.78,383
Boston Police Department,185632.01,384
Boston Police Department,170777.51,385
Boston Police Department,223095.83,386
Boston Police Department,245824.56,387
Boston Police Department,130160.49,388
Boston Police Department,292938.54,389
Boston Police Department,156564.65,390
Boston Police Department,224808.17,391
Boston Police Department,174265.29,392
Boston Police Department,184172.87,393
Boston Police Department,291289.19,394
Boston Police Department,187054.46,395
Boston Police Department,195273.84,396
Boston Police Department,156075.36,397
Boston Police Department,167895.83,398
Boston Police Department,143492.78,399
Boston Police Department,161726.81,400
Boston Police Department,102567.2,401
Boston Police Department,102567.2,402
Boston Police Department,16555.06,403
Boston Police Department,28154.3,404
Boston Police Department,251707.09,405
Boston Police Department,266592.75,406
Boston Police Department,216626.67,407
Boston Police Department,112242.08,408
Boston Police Department,186362.91,409
Boston Police Department,302112.81,410
Boston Police Department,134384.63,411
Boston Police Department,227563.8,412
Boston Police Department,280088.24,413
Boston Police Department,150364.53,414
Boston Police Department,107420.58,415
Boston Police Department,227636.29,416
Boston Police Department,130564.38,417
Boston Police Department,158380.8,418
Boston Police Department,221627.26,419
Boston Police Department,151806.35,420
Boston Police Department,256193.2,421
Boston Police Department,187202.01,422
Boston Police Department,212028.49,423
Boston Police Department,285319.04,424
Boston Police Department,115066.6,425
Boston Police Department,271629.54,426
Boston Police Department,242140.9,427
Boston Police Department,210367.54,428
Boston Police Department,201486.71,429
Boston Police Department,110390.48,430
Boston Police Department,221987.37,431
Boston Police Department,336940.19,432
